coddistrit,codbarrio,coddistbar,nombre,area_m2,area_km2,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio,airbnb_por_km2,vivienda_completa_por_km2,poblacion_2024,archivo,airbnb_por_1000_hab,vivienda_completa_por_1000_hab,densidad_poblacion
3,3,033,LA PETXINA,496771.74395523954,0.49677174395523954,114,94,20,115.96190476190476,198.7543859649123,54.64035087719301,15.991228070175435,229.48165105435567,189.22171227288976,15388,Distrito_03_Barrio_3.xlsx,7.408370158565116,6.108656095658955,30975.996898459867
4,1,041,CAMPANAR,987768.1881410896,0.9877681881410896,42,31,11,83.41463414634146,211.54761904761904,27.928571428571416,10.5,42.52009783696421,31.383881736806917,11633,Distrito_04_Barrio_1.xlsx,3.610418636637153,2.664832803232184,11777.054717557254
4,2,042,LES TENDETES,258172.4601351728,0.2581724601351728,52,31,21,81.2127659574468,201.8846153846154,48.65384615384614,6.846153846153846,201.4157512105438,120.07477476013187,5410,Distrito_04_Barrio_2.xlsx,9.611829944547136,5.730129390018484,20954.984885558497
9,5,095,CAMI REAL,1477562.794473131,1.4775627944731309,25,11,14,61.95454545454545,290.08,35.08000000000001,15.040000000000004,16.919754675410932,7.44469205718081,3960,Distrito_09_Barrio_5.xlsx,6.313131313131313,2.7777777777777777,2680.0891405850916
8,5,085,FAVARA,280212.60750916944,0.28021260750916943,12,5,7,77.25,226.58333333333331,57.5,5.5,42.82462558222803,17.843593992595014,3709,Distrito_08_Barrio_5.xlsx,3.2353734160150984,1.3480722566729577,13236.37802370698
8,2,082,SANT ISIDRE,495138.9013611061,0.49513890136110605,7,2,5,63,240.85714285714286,35.71428571428571,12.714285714285714,14.137447049216766,4.039270585490504,10444,Distrito_08_Barrio_2.xlsx,0.6702412868632708,0.19149751053236308,21093.070997431416
9,2,092,L'HORT DE SENABRE,426389.116475561,0.426389116475561,56,17,39,103.0204081632653,193.07142857142858,50.928571428571445,5.696428571428573,131.33543478521153,39.86968555979635,17225,Distrito_09_Barrio_2.xlsx,3.251088534107402,0.9869375907111755,40397.372574558365
12,4,124,CAMI FONDO,158578.63021227167,0.15857863021227167,51,29,22,540.0465116279072,162.33333333333334,48.90196078431374,6.313725490196079,321.60701559681746,182.87457749622953,4589,Distrito_12_Barrio_4.xlsx,11.113532359991284,6.319459577249945,28938.325383799907
10,5,105,NA ROVELLA,536476.17898078,0.5364761789807799,73,42,31,218.7049180327869,169.4931506849315,43.34246575342464,9.136986301369864,136.07314333823447,78.28865781103902,7628,Distrito_10_Barrio_5.xlsx,9.57000524383849,5.506030414263241,14218.71147101442
12,5,125,PENYA-ROJA,907401.2936276913,0.9074012936276913,96,76,20,383.8977272727273,193.67708333333331,37.072916666666636,17.9375,105.7966311864098,83.75566635590776,13706,Distrito_12_Barrio_5.xlsx,7.004231723332847,5.545016780971838,15104.673198343049
