coddistrit,codbarrio,coddistbar,nombre,airbnb_total,airbnb_vivienda_completa,airbnb_habitacion_privada,precio_medio_airbnb,disponibilidad_media,resenas_media,host_listings_medio
19,7,197,LA TORRE,5,2,3,73.8,266.2,3.8,1.2
19,2,192,CASTELLAR-L'OLIVERAL,4,4,0,66.75,178.5,10,1
17,2,172,POBLE NOU,2,0,2,35,316.5,0,1
17,3,173,CARPESA,2,2,0,360,46,12.5,1
17,6,176,MASSARROJOS,2,1,1,100.5,220.5,53.5,1
19,1,191,EL FORN D'ALCEDO,2,2,0,71,321.5,68.5,1
19,5,195,EL PALMAR,2,0,2,36,78.5,49.5,2
17,5,175,MAHUELLA-TAULADELLA,1,1,0,150,279,28,1
17,7,177,BORBOTO,1,1,0,68,82,12,1
19,8,198,FAITANAR,1,0,1,178,179,0,1
